% 1. Title: Trajetórias Manipuladas - As Originais
% 
% 2. Sources:
%      (a) Creator: Marcel Tolentino Pinheiro de Oliveira
%      (b) Date: June, 2013
% 
@RELATION trajectory

@ATTRIBUTE collar  STRING
@ATTRIBUTE longitude  NUMERIC
@ATTRIBUTE latitude   NUMERIC
@ATTRIBUTE day DATE "dd/MM/yy"
@ATTRIBUTE hour DATE "HH:mm:ss"

@DATA
0004,-054.7227616666666666,-20.44383,18/03/09,13:00:45
0004,-054.722835,-20.4440716666666667,18/03/09,13:05:34
0004,-054.7224116666666667,-20.44481000000000004,18/03/09,13:10:57
0004,-054.7228116666666666,-20.44352166666666665,18/03/09,13:15:39
0004,-054.72277,-20.44393666666666665,18/03/09,13:21:04
0004,-054.722665,-20.4439883333333333,18/03/09,13:25:27
0004,-054.722745,-20.44403,18/03/09,13:30:28
0004,-054.7228766666666666,-20.44287166666666666,18/03/09,13:35:28
0004,-054.722965,-20.4430016666666667,18/03/09,13:40:31
0004,-054.7235999999999999,-20.443585,18/03/09,13:45:34
0004,-054.7230383333333333,-20.44298166666666666,18/03/09,13:50:31
0004,-054.7232266666666667,-20.443215,18/03/09,13:55:39
0004,-054.7229816666666667,-20.44303166666666666,18/03/09,14:00:31
0004,-054.7229,-20.44358166666666665,18/03/09,14:05:28
0004,-054.72321,-20.44362833333333335,18/03/09,14:10:31
0004,-054.7232016666666666,-20.44320833333333337,18/03/09,14:15:29
0004,-054.722835,-20.4430766666666666,18/03/09,14:20:30
0004,-054.7230383333333333,-20.4431866666666667,18/03/09,14:25:41
0004,-054.72303,-20.44300666666666666,18/03/09,14:30:28
0004,-054.7226733333333333,-20.44398,18/03/09,14:35:27
0004,-054.7226316666666667,-20.44302833333333336,18/03/09,14:40:32
0004,-054.7226883333333334,-20.4429133333333333,18/03/09,14:45:33
0004,-054.7229,-20.44309499999999996,18/03/09,14:50:31
0004,-054.72303,-20.44315166666666667,18/03/09,14:55:28
0004,-054.7229083333333333,-20.4432983333333333,18/03/09,15:00:29
0004,-054.722835,-20.4433166666666667,18/03/09,15:05:33
0004,-054.7229083333333333,-20.44316,18/03/09,15:10:28
0004,-054.7230066666666667,-20.443135,18/03/09,15:15:41
0004,-054.7231683333333333,-20.44318,18/03/09,15:20:33
0004,-054.7231366666666666,-20.4432983333333333,18/03/09,15:25:50
0004,-054.7232183333333333,-20.44356500000000004,18/03/09,15:30:28
0004,-054.7233066666666667,-20.443445,18/03/09,15:35:31
0004,-054.7232583333333333,-20.4434916666666667,18/03/09,15:40:29
0004,-054.7232583333333333,-20.44342,18/03/09,15:45:29
0004,-054.723275,-20.4434916666666667,18/03/09,15:50:29
0004,-054.7233233333333333,-20.443465,18/03/09,15:56:02
0004,-054.7233233333333333,-20.4433683333333333,18/03/09,16:01:03
0004,-054.7233483333333334,-20.4433916666666667,18/03/09,16:05:26
0004,-054.7232916666666667,-20.443465,18/03/09,16:10:27
0004,-054.7232583333333333,-20.44337166666666666,18/03/09,16:15:27
0004,-054.7232266666666667,-20.44354,18/03/09,16:20:28
0004,-054.7232416666666667,-20.443455,18/03/09,16:25:28
0004,-054.723275,-20.44348166666666666,18/03/09,16:30:28
0004,-054.7232500000000001,-20.44340166666666664,18/03/09,16:35:32
0004,-054.7232583333333333,-20.4434383333333333,18/03/09,16:40:27
0004,-054.723275,-20.44341833333333336,18/03/09,16:45:28
0004,-054.7232266666666667,-20.4433783333333333,18/03/09,16:50:28
0004,-054.7232183333333333,-20.44339666666666666,18/03/09,16:55:28
0004,-054.7227049999999999,-20.44399833333333333,18/03/09,17:00:28
0004,-054.722535,-20.4441183333333333,18/03/09,17:05:30
0004,-054.72277,-20.4435266666666667,18/03/09,17:10:27
0004,-054.722665,-20.443135,18/03/09,17:15:30
0004,-054.72273,-20.44326333333333334,18/03/09,17:20:33
0004,-054.7226316666666667,-20.4436583333333333,18/03/09,17:25:27
0004,-054.72273,-20.4430233333333333,19/03/09,12:20:28
0004,-054.7226883333333334,-20.44304166666666667,19/03/09,12:25:26
0004,-054.7227049999999999,-20.4430116666666667,19/03/09,12:30:31
0004,-054.7226883333333334,-20.4439916666666667,19/03/09,12:35:26
0004,-054.7225583333333333,-20.444115,19/03/09,12:40:33
0004,-054.7226566666666667,-20.44385166666666664,19/03/09,12:45:30
0004,-054.723275,-20.4431966666666666,20/03/09,11:45:27
0004,-054.7230883333333333,-20.44332499999999997,20/03/09,11:50:25
0004,-054.723015,-20.443295,20/03/09,11:55:25
0004,-054.723145,-20.44320833333333337,20/03/09,12:01:31
0004,-054.7230716666666667,-20.44294666666666666,20/03/09,12:05:22
0004,-054.72242,-20.4434916666666667,20/03/09,12:10:23
0004,-054.7221116666666667,-20.44293166666666667,20/03/09,12:15:25
0004,-054.7221183333333333,-20.44338,20/03/09,12:20:26
0004,-054.7229816666666667,-20.4434616666666667,20/03/09,12:25:24
0004,-054.7227049999999999,-20.4431266666666666,20/03/09,12:30:29
0004,-054.7228916666666667,-20.443445,20/03/09,12:35:25
0004,-054.7228033333333334,-20.44339333333333336,20/03/09,12:40:25
0004,-054.7228600000000001,-20.4431083333333333,20/03/09,12:45:25
0004,-054.7229983333333333,-20.4432216666666667,20/03/09,12:50:27
0004,-054.7228766666666666,-20.4429166666666667,20/03/09,12:55:23
0004,-054.7228433333333334,-20.4428216666666666,20/03/09,13:00:24
